ISBN,Titulo,Autor,Ano,Editora,ID_usuario,Notas
034071879X,Exclusion Zone,John Nichol,1998,Hodder & Stoughton General Division,10836,8
141186453,The Levant Trilogy (Penguin Modern Classics),Olivia Manning,2001,Penguin Books Ltd,10836,8
553403893,Road to Avonlea: Further Chronicles of Avonlea,L.M. Montgomery,1990,Transworld Publishers Ltd,10836,8
553581449,Silence and Shadows,James Long,2002,Bantam Books,10836,0
140324623,Anne of Green Gables,L.M. Montgomery,1992,Penguin USA,10836,4
140109951,The Levant Trilogy (Fortunes of War),Olivia Manning,1988,Penguin USA,10836,0
440217490,A Dangerous Fortune,Ken Follett,1994,Island,10836,5
1842320467,Brothers in Law,Henry Cecil,2000,House of Stratus,10836,3
156471140,The Kindness of Women,J. G. Ballard,1993,Harcourt,10836,7
1842320645,Sober As a Judge,Henry Cecil,2000,House of Stratus,10840,0
449205622,Captains and Kings,Taylor Caldwell,1993,Fawcett Books,10842,1
917346032X,"Joyce Cary's \""Hard Conceptual Labour\"": A Structural Analysis of \""to Be a Pilgrim\"" (Gothenburg studies in English)",Ingvar Soderskog,1977,Brill Academic Pub,10847,4
140183000,The Death of the Heart (Penguin Classics),Elizabeth Bowen,1991,Penguin USA,10849,10
1404334114,The Three Musketeers,Alexandre Dumas,2002,IndyPublish.com,10851,3
802141323,The Wretched of the Earth: Frantz Fannon ; Translated from the French by Richard Philcox ; Introductions by Jean-Paul Sartre and Homi K. Bhabha,Frantz Fanon,2004,Grove Press,10852,8
1587151111,Child of Storm,H. Rider Haggard,2000,Wildside Press,10857,2
1558820604,The First Saint Omnibus: An Anthology of Saintly Adventures (Saint Series),Leslie Charteris,1990,International Polygonics,10857,1
752802593,Siege of Silence,A. J. Quinnell,1994,Orion Publishing Group,10860,2
679455620,The Unlikely Spy,Daniel Silva,1997,Random House Inc,10863,2
140173048,Cock and Bull,Will Self,0,Penguin Putnam~trade,10863,6
1569249377,Norma Jean: The Life of Marilyn Monroe,Fred Lawrence Guiles,1993,Pub Group West,10863,6
5551696006,Brando,Charles Higham,1987,New American Library,10863,10
816637814,Louise Brooks: A Biography,Barry Paris,2000,University of Minnesota Press,10863,9
879101350,Montgomery Clift: A Biography,Patricia Bosworth,1990,Limelight Editions,10863,5
452273005,A Boy's Own Story,Edmund White,1994,Plume Books,10863,1
701122072,A postillion struck by lightning,Dirk Bogarde,1977,Chatto & Windus,10863,9
031251543X,Marlon Brando: The Only Contender,Gary Carey,1985,St Martins Pr,10863,2
520237714,Adventures of Huckleberry Finn,Mark Twain,2002,University of California Press,10863,4
521403979,The Color Purple,Alice Walker,1990,Cambridge University Press,10865,9
701113332,The past is myself,Christabel Bielenberg,1968,Chatto & Windus,10865,5
879515317,The Museum of Love,Steve Weiner,1994,Overlook Press,10865,1
749399570,The Joy Luck Club,Amy Tan,1991,Vintage,10867,5
816633681,A Meeting by the River,Christopher Isherwood,1999,University of Minnesota Press,10875,5
786709154,The Mammoth Book of Best New Erotica,Maxim Jakubowski,2001,Carroll & Graf Publishers,10875,7
067973449X,Dead Babies,Martin Amis,1991,Vintage Books USA,10875,1
140236236,Regeneration,Pat Barker,1997,Penguin Books Ltd,10875,0
345476875,Interview With the Vampire,ANNE RICE,2004,Ballantine Books,10875,5
399133550,Picture This,Joseph Heller,1988,Putnam Pub Group,10875,3
752832646,True: Auto Of Martin Kemp,Martin Kemp,2000,Trafalgar Square,10875,6
761511059,Deathtrap Dungeon (Prima's Secrets of the Games),Steve Smith,1998,Prima Lifestyles,10875,9
440940273,ISLAND OF THE LIZARD (Fighting Fantasy #7),IAN LIVINGSTONE,1984,Laurel Leaf,10875,1
330345605,Last Orders,Graham Swift,0,Picador,10875,10
571149030,Life Is Elsewhere,Milan Kundera,0,Faber Faber Inc,10878,0
802135765,Great Apes,Will Self,1998,Publishers' Group West,10883,4
316926108,Scoop,Evelyn Waugh,1999,Back Bay Books,10884,0
140013113,Anglo-Saxon Attitudes,Angus Wilson,1978,Penguin USA,10891,1
1560252391,Ewan McGregor,Brian Pendreigh,1999,Thunder's Mouth Press,10894,1
863185592,Pot-pourri (Little Scented Library S.),Malcolm Hillier,1991,Dorling Kindersley,10899,4
553350005,And Then There Were None,Agatha Christie,0,Bantam Doubleday Dell,10900,5
075282032X,Spring Clean Your System,Jane Garton,1998,Orion Publishing Co,10903,1
704340089,"Fed Up & Hungry: Women, Oppression &amp; Food",Marilyn Lawrence,1987,Trafalgar Square Publishing,10903,6
1857021584,Fibrenetics: A Fresh Start for Life,Gilly Smith,1994,Trafalgar Square,10906,4
60974680,Europe : A History,Norman Davies,1998,Perennial,10907,6
395510821,The Fit-Or-Fat Target Diet,Covert Bailey,1989,Houghton Mifflin Company,10909,4
871293439,An Occurence at Owl Creek Bridge,Ambrose Gwinnett Bierce,1967,Dramatic Pub.,10912,5
870527711,Black Monk and Other Stories,Anton Pavlovich Chekhov,1989,Hippocrene Books,10916,3
146001338,Hot and Spicy Floyd (Penguin 60s),Keith Floyd,1996,Penguin,10917,9
945353626,Under the Garden,Graham Greene,1991,Pub Group West,10917,1
393323374,Little Tales of Misogyny,Patricia Highsmith,2002,W. W. Norton & Company,10917,1
1860920195,The Pit and the Pendulum,Edgar Allan Poe,2000,Travelman Pub,10917,4
1860920136,"The Secret Sin of Septimus Brop, Sredni Vashtar, the Lumber Room: With Envelope (Travelman Short Stories)",Saki,2000,Travelman Publishing,10917,2
684806843,MADAME DE TREYMES AND THREE NOVELLAS,Edith Wharton,1995,Scribner,10917,7
1857997581,The Kepi (Phoenix 60p Paperbacks),Colette,1996,Orion Publishing Co,10917,2
1857996151,Shancarrig (Phoenix 60p Paperbacks),Maeve Binchy,1995,Everyman,10917,8
671225235,Garbo: Her Story,Antoni Gronowicz,1990,Simon & Schuster,10917,7
786225955,"Girl, Interrupted (Thorndike Press Large Print Basic Series)",Susanna Kaysen,2000,Thorndike Press,10917,4
445043024,Midnight Express,Billy Hayes,0,Warner Books> C/o Little Br,10917,4
352301961,A twist of Lennon,Cynthia Lennon,1978,Star Books,10917,8
815410719,Rebel,Donald Spoto,2000,Cooper Square Publishers,10917,6
563537248,Green Behind the Ears (Down to Earth),Faith Addis,2000,BBC Consumer Publishing,10917,3
60927615,Take It Like a Man: The Autobiography of Boy George,Boy George,1996,Harpercollins,10917,4
722538820,Head-On/Repossessed,Julian Cope,2000,Thorsons Publishers,10917,10
743246985,Wild Swans : Three Daughters of China,Jung Chang,2003,Touchstone,10917,6
2253372,A good woman,Lisa Appignanesi,1996,HarperCollins Publishers,10917,10
2241358,Cocaine nights,J. G Ballard,1996,Flamingo,10917,3
920953719,The Dawning,Milka Bajic Poderegin,1994,Univ of Toronto Pr,10920,10
330289764,Flaubert's Parrot,Julian Barnes,0,Pan Books Ltd,10920,4
679736875,Talking It over,Julian Barnes,1992,Vintage Books USA,10921,9
684864703,Mummy's Legs: A Novel,Kate Bingham,2000,Simon & Schuster,10921,4
679767908,Illywhacker: A Novel,Peter Carey,1996,Vintage Books USA,10921,5
140147470,Hotel Du Lac,Anita Brookner,0,Penguin Putnam~trade,10921,0
151005214,The Peppered Moth,Margaret Drabble,2001,Harcourt,10924,9
340715618,Singling Out the Couples,Stella Duffy,1999,Trafalgar Square,10924,0
571176437,Getting Back Brahms,Mavis Cheek,1997,Faber and Faber Ltd,10924,0
679777504,Oscar and Lucinda,Peter Carey,1997,Vintage Books USA,10924,4
571177468,Aunt Margaret's Lover,Mavis Cheek,1996,Faber and Faber Ltd,10924,2
783813791,A Passion for Life: The Biography of Elizabeth Taylor (G K Hall Large Print Book Series),Donald Spoto,1995,G. K. Hall & Company,10924,1
024102062X,The moon's a balloon: reminiscences,David Niven,1971,Hamilton,10924,9
440108241,BRING ON EMPTY HORSE,DAVID NIVEN,1976,Dell,10924,0
20332858,Laurence Olivier,Anthony Holden,1990,Collier Books,10924,1
929099028,The Child Called It,David J. Pelzer,1993,Maun Lemke,10924,1
671779672,Confessions of an Actor: An Autobiography,Laurence Olivier,1992,Simon & Schuster,10924,2
140238956,Early Days,Miss Read,1999,Penguin Uk,10924,3
70236577,Elvis,Albert Harry Goldman,1984,Mcgraw-hill Inc,10924,8
747501866,Coming Attractions,Terence Stamp,1988,Bloomsbury Publishing Plc,10924,1
747503931,Double Feature,Terence Stamp,1989,Bloomsbury Publishing PLC,10924,5
2252376,Of wee sweetie mice and men,Colin Bateman,1996,HarperCollins,10924,9
340769688,Decisive Measures,John Nichol,2000,Hodder & Stoughton General Division,10927,6
708902936,Look to the Lady,Margery Allingham,1979,Ulverscroft Large Print Books,10927,10
140018484,Take a Girl Like You,Kingsley Amis,1976,Viking Press,10927,3
283994568,The Marilyn Scandal: Her True Life Revealed by Those Who Knew Her,Sandra Shevey,1987,Pan Macmillan,10927,4
862419999,Jessie Kesson: Writing Her Life,Isobel Murray,2000,Canongate Books,10927,4
1854798200,J. K. Rowling A Biography,Sean Smith,1999,Michael O'Mara Books,10927,7
1589636147,In Desert and Wilderness,Henryk Sienkiewicz,2001,Fredonia Books (NL),10927,6
952671913,Krautrock Sampler,Julian Cope,0,Head Heritage,10927,6
816603588,Parables for the Theatre: Two Plays by Bertolt Brecht,Bertolt Brecht,1965,Univ of Minnesota Pr (Trd),10927,6
140157654,Before Night Falls,Reinaldo Arenas,1994,Penguin Books,10927,4
1048082,Made in America,Bill Bryson,1995,HarperCollins Publishers,10927,9
067976416X,Caracole,EDMUND WHITE,1996,Vintage,10927,4
375420576,The Tin Drum,Gunter Grass,1999,Pantheon Books,10927,2
241902576,Hireling,L.P. Hartley,1973,Viking Penguin Inc,10927,7
140035877,Sunlight on Cold Water,Francoise Sagan,1978,Viking Press,10927,10
749000309,Those Without Shadows,Francoise Sagan,1989,Allison & Busby Ltd,10927,7
1882593138,Kraven Images,Alan Isler,1996,Bridge Works Publishing Company,10927,8
749394854,The Flounder,Gunter Grass,1997,Random House (UK),10927,4
015675830X,The Rat,Gunter Grass,1989,Harvest Books,10927,5
330299301,Staring At the Sun,Julian Barnes,0,Pan Books Ltd,10927,2
9997406990,Breath of French Air,Herbert Ernest Bates,1959,Little Brown & Co (T),10927,4
679773258,Altered States (Vintage Contemporaries),Anita Brookner,1998,Vintage Books USA,10930,0
385720149,The Last September,Elizabeth Bowen,2000,Anchor Books/Doubleday,10930,8
1404305009,Greenmantle,John Buchan,2002,IndyPublish.com,10930,5
1880985721,And the Ass Saw the Angel,Nick Cave,2003,2.13.61 Publications,10930,1
349923193X,Intimacy.,Hanif Kureishi,2001,Rowohlt Tb.,10930,10
330295861,The Legacy,Lynda La Plante,1988,Trans-Atlantic Publications,10932,5
140446362,Poetics (Penguin Classics),Aristotle,1997,Penguin Books,10932,2
749318538,The Hairdressers of St.Tropez,Rupert Everett,1995,Mandarin,10936,5
743466519,Postcards From the Edge,Carrie Fisher,2003,Pocket,10939,5
395442435,Collected Stories Including the Member of the Wedding and the Ballad of the Sad Cafe,Carson McCullers,1987,Houghton Mifflin,10940,1
747542333,Model Behaviour,Jay Mcinerney,0,Bloomsbury,10940,8
99435136,The First Wives Club,Olivia Goldsmith,2001,Arrow,10942,6
1587887150,The Beach,Alex Garland,2001,Brilliance Audio,10942,9
880015926,Peerless Flats,Esther Freud,1998,Ecco,10942,10
816638624,A Single Man,Christopher Isherwood,2001,University of Minnesota Press,10942,1
330343327,The Big Kiss,David Huggins,1997,Picador (UK),10942,9
743421566,Shanghai Baby,Wei Hui,2001,Atria,10946,1
345417992,A Son of the Circus (Ballantine Reader's Circle),John Irving,1997,Ballantine Books,10946,1
686408233,August Is a Wicked Month,Edna. O'Brien,1967,Books Britain,10946,9
033390673X,"Mary, Mary - Audio",Julie Parsons,2002,Pan Macmillan,10946,9
7114788,One for My Baby,Tony Parsons,2001,HarperCollins Publishers,10946,0
1048473,Nothing Can Be Better,Barns & Budd,1996,Atlantic,10946,7
91800625,A Sight for Sore Eyes,Ruth Rendell,1998,Hutchinson,10946,6
91793475,Piranha to Scurfy and Other Stories,Ruth Rendell,0,Random House Uk,10946,0
345327462,An Unkindness of Ravens,Ruth Rendell,1993,Fawcett Books,10946,1
425170551,The Rector's Wife,Joanne Trollope,2003,Berkley Publishing Group,10946,4
553052152,A Fatal Inversion,Barbara Vine,1987,Bantam Dell Pub Group,10946,5
553051431,A Dark Adapted Eye,Barbara Vine,1986,Bantam Dell Pub Group,10946,8
140043578,Scars on the Soul,Francoise Sagan,1978,Viking Press,10946,1
033026012X,The Throwback,Tom Sharpe,1997,Pan Publishing,10946,5
670883573,The Travelling Hornplayer,Barbara Trapido,1998,Penguin USA,10946,6
038507428X,Some Lie and Some Die,Ruth Rendell,1973,Bantam Doubleday Dell Pub,10946,4
078878949X,Man & Boy,Tony Parsons,2001,Recorded Books,10946,2
380472821,Birdy M/TV,William Wharton,1985,Avon Books,10946,2
340707712,Disco 2000,Sarah Champion,1999,Hodder & Stoughton,10946,2
671556940,Blood Sport,Dick Francis,1984,Pocket Books,10949,0
1840324708,My Legendary Girlfriend,Mike Gayle,2000,Hodder & Stoughton General Division,10949,3
333711335,Cold Heart,Lynda La Plante,1998,Pan Macmillan,10949,1
670879371,The chimney sweeper's boy,Barbara Vine,1998,Viking,10949,2
393315819,Ecstasy : Three Tales of Chemical Romance,Irvine Welsh,1996,W. W. Norton & Company,10949,2
9997409728,Shaft,Ernest Tidyman,1970,MacMillan Pub Co,10949,5
5552022920,Leaving Home,Garrison Keillor,1987,Viking Books,10949,3
330326856,The Llama Parlour,Kathy Lette,1995,Macmillan Pub Ltd,10949,1
380725010,Women and Ghosts,Alison Lurie,1995,Harpercollins,10949,2
037550169X,Charlotte Gray,Sebastian Faulks,1999,Random House Trade,10949,1
198605714,Pocket Oxford English Dictionary,Catherine Soanes,2002,Oxford University Press,10949,2
8321407749,Wzory listÃ³w polskich,Roxana Sinielnikoff,1993,Wiedza powszechna,10949,4
140865918,Cover Her Face (Penguin/Faber),P.D. James,1997,Penguin Audiobooks,10949,6
446314277,Unnatural Causes,P.d James,1982,Warner Books> C/o Little Br,10949,4
446348325,Unsuitable Job for a Woman,P D James,1987,Warner Books> C/o Little Br,10949,6
446404799,Almost the Truth,Margaret Yorke,1996,Warner Books,10949,8
312921691,An Easter Egg Hunt,Gillian Freeman,1981,St Martins Pr,10951,3
057117969X,Leaving Las Vegas,John O'Brien,1996,Faber & Faber,10951,4
685239306,Aimez Vous Brahms?,Francoise Sagan,1963,French & European Pubns,10951,8
745119948,Love for Lydia,H. E Bates,1993,Chivers Press,10951,5
385261861,Life with Picasso,FRANCOISE GILOT,1989,Anchor,10951,3
340866594,Teach Yourself French: Complete Course (Teach Yourself Language Complete Courses),Gaelle Graham,2003,McGraw Hill,10951,5
8370665098,"Kim pan jest, panie Wachowski?",PaweÂ± Rabiej,1993,"Polska Oficyna Wydawnicza \""BGW\""",10954,4
679751203,Vamps and Tramps: New Essays,Camille Paglia,1994,Vintage Books USA,10959,1
393087247,Enterprising Women,Caroline Bird,1976,W W Norton & Co Inc,10959,4
1593080131,Sons and Lovers,D. H. Lawrence,2003,Barnes & Noble Books-Imports,10959,0
140062149,The British Museum Is Falling Down,David Lodge,2004,Penguin Books Ltd,10959,1
060620069X,All the Pretty Horses (Border Trilogy (Hardcover)),Cormac McCarthy,1993,Turtleback Books Distributed by Demco Media,10959,5
425143198,A Man Lay Dead,Ngaio Marsh,1993,Berkley Pub Group,10959,3
486287319,The Moon and Sixpence (Dover Thrift Editions),W. Somerset Maugham,1995,Dover Publications,10962,1
140861726,Moby-Dick (Penguin Classics),Herman Melville,1996,Penguin Audiobooks,10963,6
671530720,Dieting Makes You Fat,Geoffrey Cannon,1985,Simon & Schuster,10963,4
60923970,In the Teeth of the Evidence: A Lord Peter Wimsey Mystery Collection,Dorothy L. Sayers,1993,Perennial,10963,6
450549739,"Striding folly, including three final Lord Peter Wimsey stories",Dorothy L Sayers,1991,New English Library,10963,7
226743403,"The Jewel in the Crown (Repr of 1966 ed) (Raj Quartet/Paul Scott, 1) (Phoenix Fiction)",Paul Scott,1998,University of Chicago Press,10963,0
385298803,Spy Shadow,Tim Sebastian,1990,Bantam Dell Pub Group,10965,6
671816381,WAR REMEMBRANCE,Herman Wouk,1980,Pocket,10965,9
2253010073,Therese Raquin,Emile Zola,0,LP,10965,6
140008217,Brideshead Revisited,Evelyn Waugh,0,Penguin Putnam~mass,10965,9
316926116,Vile Bodies,Evelyn Waugh,1999,Back Bay Books,10965,7
6156487,Saturday City,Jan Webster,1982,HarperCollins Publishers,10965,10
087113635X,Worst Fears,Fay Weldon,1996,Pub Group West,10965,4
701202785,The voyage out,Virginia Woolf,1975,Hogarth Press,10965,8
451165934,"Kiss Me, Deadly (Mike Hammer Series)",Mickey Spillane,1989,New Amer Library (Mm),10965,7
192802615,Jude the Obscure (Oxford World's Classics),Thomas Hardy,2003,Oxford University Press,10965,4
940322994,The Go-Between (New York Review Books Classics),L. P. Hartley,2002,New York Review of Books,10965,10
1413701744,The Moghul Exile,Farzana Moon,2003,Publishamerica,10965,7
140621954,The Europeans (Penguin Popular Classics),Henry James,1996,Penguin Books Ltd,10965,7
812972112,The Wings of the Dove,HENRY JAMES,2004,Modern Library,10965,6
140622179,The Dubliners (Penguin Popular Classics),James Joyce,1996,Penguin Books Ltd,10965,4
449208516,Friday the Rabbi Slept Late,Harry Kemelman,1985,Fawcett Books,10965,9
999750805X,The Happy Highwayman,Leslie Charteris,1939,Doubleday,10965,1
552112518,Cade,James Hadley Chase,1980,Transworld Publishers Ltd,10969,8
374528047,The Vagabond,Enid McLeod,2001,"Farrar, Straus and Giroux",10973,5
140028420,Millstone,Margaret Drabble,0,Penguin Putnam~mass,10978,6
805062734,Fludd,Hilary Mantel,2000,Owl Books (NY),10980,4
452284384,Girls in Their Married Bliss: And Epilogue,Edna O'Brien,2003,Plume Books,10985,8
452283434,The Country Girls,Edna O'Brien,2002,Plume Books,10985,8
933328133,Platinum Logic,Tony Parsons,1982,Delilah Books,10985,7
747524432,After Breathless,Jennifer Potter,1996,Bloomsbury,10985,2
349106630,Last Tycoon,F Scott Fitzgerald,0,Abacus,10985,1
156731161X,"James Bond Omnibus: Thunderball, on Her Majesty's Secret Service, You Only Live Twice",Ian Fleming,1997,MJF Books,10985,9
141002999,Thunderball (James Bond 007),Ian Fleming,2005,Penguin Books Ltd,10985,5
1046438,Liar,Stephen Fry,0,Harpercollins Uk,10985,2
1410105040,The White Monkey,John Galsworthy,2004,Fredonia Books (NL),10985,5
345330838,Cut Thin to Win,A.A. Fair,1986,Ballantine Books,10985,1
140185402,A Gun for Sale (20th Century Classics),Graham Greene,1992,Penguin Books,10985,9
155709439X,"American Cookery: Or, the Art of Dressing Viaands, Fish, Poultry and Vegetables, and the Best Modes of Making Puff-Pastes, Pies, Tarts, Puddings, Custards and preserves",Amelia Simmons,1996,Applewood Books,10985,2
563208317,Floyd's American Pie,Keith Floyd,1991,Bbc Pubns,10985,10
563370017,Floyd on France: Learn to Cook the Floyd Way,Keith Floyd,1994,Bbc Pubns,10985,4
9631302199,Hungarian cuisine: A complete cookery book,JÃ³zsef Venesz,1977,Corvina Press,10985,9
600600092,Concise Larousse Gastronomique: The World's Greatest Cookery Encyclopedia,Not Applicable (Na ),1999,Hamlyn,10985,5
039332138X,"Blue Guide Krakow, First Edition (Blue Guides)",Jasper Tilbury,2000,W.W. Norton & Company,10985,6
8385496424,Pieniny (Krainy piekna),DionÃ½z Dugas,1996,Dino,10985,0
8322106491,Tatry: GÃ³ry najpiekniejsze = The Tatra : spell,Ryszard Ziemak,1994,Wydawnictwa Artystyczne i Filmowe,10985,1
8385412565,Zakopane (DookoÂ±a Polski),Joanna Markin,1995,Pascal,10986,10
396051057,Wonders of Gravity,R.V. Feravolo,1965,Dodd Mead,10990,4
039731681X,A Picture Guide to Chess,Paul Langfield,1977,Harpercollins Juvenile Books,11000,8
071830246X,Bring me sunshine: A harvest of Morecambe and Wise,Eric Morecambe,1978,Kimber,11004,6
600367088,Orders and decorations (Hamlyn all-colour paperbacks: general information),Alec A Purves,1972,Hamlyn,11006,2
20820445,With Fire and Sword,Henryk Sienkiewicz,1993,Simon & Schuster,11006,5
8311067406,Potop (Bellona),Henryk Sienkiewicz,1982,Wydawn. Ministerstwa Obrony Narodowej,11006,5
609608754,"The Craft of the Cocktail: Everything You Need to Know to Be a Master Bartender, With 500 Recipes",Dale Degroff,2002,Clarkson N Potter Publishers,11008,5
316261750,"Classic French Cooking,",Craig Claiborne,1970,Little Brown & Co,11010,5
316262501,Cooking of Provincial France,M. F. Fisher,1968,Little Brown & Co,11010,6
762407700,Leith's Latin-American Cooking,Valeria Vieira Sisti,2000,Running Press Book Publishers,11012,9
708983537,One is Fun!: A Practical & Imaginative Cookery Book Featuring Specially Devised for One (Charnwood Library),Delia Smith,1986,Ulverscroft Large Print,11012,0
246109351,The best of British cooking,Marika Hanbury Tenison,1976,Hart-Davis MacGibbon,11017,5
316264903,"Wines and Spirits,","Alec, Waugh",1968,Little Brown & Company,11024,1
809400405,Cooking of Japan,Time Life Ed,0,Time-life Books Inc,11031,9
809400669,Cooking of Spain and Portugal,Peter S. Feibleman,1969,Time Life Education,11032,2
1851523227,Vegetarian Cooking (Kitchen Library),Carole Handslip,1993,Bounty Books,11033,5
140468552,Cooking in a Bedsitter,Whitehorn,1999,Penguin Uk,11036,0
1569470545,The Hippopotamus,Stephen Fry,1996,Soho Press,11036,6
911104917,Every room a garden,Alice Fulton Skelsey,1976,Workman Pub. Co,11036,0
394487265,Alistair Cooke's America,Alistair Cooke,1973,Random House Trade,11036,0
1855016877,Complete Guide to Conservatory Plants,Ann Bonar,0,Tiger Books Intl,11036,8
855330902,Your indoor garden: The comprehensive guide to living with plants (The Joy of living library),George Seddon,1976,Mitchell Beazley,11036,0
231124244,T. S. Eliot: The Waste Land,Nick Selby,2001,Columbia University Press,11037,1
089577951X,Readers Digest Illustrated Reverse Dictionary (Reader's Digest General Books),Reader's Digest,1997,Readers Digest,11037,10
1880985497,King Ink II,Nick Cave,1997,Two Thirteen Sixty One Publications,11037,0
188098508X,King Ink,Nick Cave,1990,2.13.61 Publications,11037,8
946719632,U2: The Ultimate Encyclopedia,Mark Chatterton,2003,Firefly Publishing,11037,2
871401835,73 Poems,E. E. Cummings,2003,Liveright Publishing Corporation,11037,4
571069770,Murder in the Cathedral,T. S. Eliot,1938,Faber and Faber Ltd,11037,1
000104687X,"T.S. Eliot Reading \""The Wasteland\"" and Other Poems",T.S. Eliot,1993,HarperCollins Publishers,11037,9
571194737,Birthday Letters,Ted Hughes,0,Faber Faber,11038,1
152004564,Gunga Din,Rudyard Kipling,1987,Gulliver Books,11038,10
1874923019,"Vectors: Selected poems, 1983-1991",Daniel Stolfi,1992,Snailpress,11038,0
396078346,Evita: The woman with the whip,Mary Main,1980,"Dodd, Mead",11038,0
068803487X,Man from a Far Country-An Informal Portrait of Pope John Paul II,Mary Craig,1979,Harpercollins,11038,7
086051210X,Katherine Hepburn,Carey Gary,1983,Robson Books Ltd,11038,7
312445288,Joyce Grenfell requests the pleasure,Joyce Grenfell,1976,St. Martin's Press,11038,10
297777661,Lloyd George,David Benedictus,1981,Weidenfeld and Nicolson,11038,7
1856951677,The House by the Dvina,Eugenie Fraser,0,ISIS Publishing,11039,4
385240236,The Diary of Anne Frank: The Critical Edition,Anne Frank,1989,Doubleday Books,11043,0
586040102,Banco the Further Adventures of Papillon,Henri Charriere,0,Hunter Publishing+inc,11053,10
815410018,Backstage Passes: Life on the Wild Side With David Bowie,Angela Bowie,2000,Cooper Square Publishers,11053,10
670811327,Backcloth,Dirk Bogarde,1986,Penguin USA,11053,10
871318156,Dr. Atkins' New Carbohydrate Gram Counter,Robert C. Atkins,1997,M. Evans and Company,11065,7
1558556958,Dear Lost Monica (Midnight Detective),T. Ernesto Bethancourt,1997,Educational Developmental Laboratories,11070,8
684184559,HUDSON RIVER BRACKETED (Hudson River Editions),Edith Wharton,1985,Scribner,11070,4
671708163,The Folks That Live on the Hill,Kingsley Amis,1990,Simon & Schuster,11070,7
193151561,William Walton: Behind the faÃ§ade,Susana Walton,1988,Oxford University Press,11070,7
671648454,Women on Top,Nancy Friday,1993,Pocket,11070,4
141186070,"The Log from the \""Sea of Cortez\"" (Penguin Modern Classics)",John Steinbeck,2001,Penguin Books Ltd,11070,2
192834843,"\""A Room of One's Own\"", and \""Three Guineas\"" (Oxford World's Classics)",Virginia Woolf,1998,Oxford University Press,11070,9
816606811,Candle in the Wind,Alexander Solzhenitsyn,1973,University of Minnesota Press,11070,3
9997411757,Pumpkin Eater,Penelope Mortimer,1962,McGraw Hill (Tx),11073,7
759638675,"Poor Man's New Testament Book One: The Holy Gospel of Jesus Christ, According to St. Matthew",Ronald Allen Bacon,2001,Authorhouse,11078,3
6380964,Survivor's Song,Mark Owens,1994,Trafalgar Square,11078,0
1400034205,The Razor's Edge,W. SOMERSET MAUGHAM,2003,Vintage,11078,9
140068600,Clinging to the Wreckage: A Part of Life,John Mortimer,1987,Penguin Books,11079,9
330336630,The Scold's Bridle,Minette Walters,1995,Macmillan Pub Ltd,11080,9
330376276,Creed,James Herbert,2001,Pan,11085,7
425105709,"One, Two, Buckle My Shoe",Agatha Christie,2004,Berkley Publishing Group,11087,0
749910402,Telephone Selling Techniques That Really Work: How to Find New Business by Phone,Bill Good,1991,Judy Piatkus Publishers Ltd,11088,4
520006534,"Diaries of Paul Klee, 1898-1918",Paul Klee,1964,University of California Press,11100,0
1857975626,The Short Caution,Gary Coyne,1995,Orion Books Ltd,11100,9
708848850,In Pleasant Places,Joyce Grenfell,1991,Time Warner Books UK,11101,1
60170085,Death in a Strange Country,Donna Leon,1993,HarperCollins Publishers,11101,10
451199901,They Do It With Mirrors (Miss Marple Mysteries (Paperback)),Agatha Christie,2001,Signet Book,11104,10
140318305,Ian Livingstone's Caverns of the Snow Witch (Fighting Fantasy Gamebook),Ian Livingstone,1984,Puffin Books,11104,3
684814935,Cooking for Cher,Andrew Ennis,1997,Simon & Schuster,11104,6
1854711849,Observer's Soccer,Albert Sewell,1993,Penguin Books Ltd,11104,0
452266289,Lantern Slides: Stories (Plume Contemporary Fiction),Edna O'Brien,1991,Plume Books,11104,5
670032158,My Lover's Lover,Maggie O'Farrell,2003,Viking Books,11104,1
767910109,The Fabulous Girl's Guide to Decorum,KIM IZZO,2001,Broadway,11105,1
889951640,Fern Hill (Writing West Series),Dylan Thomas,1997,Red Deer Press,11107,6
517799820,Love in the Night (Greetings Book),F. Scott Fitzgerald,1995,Random House Inc,11109,3
844663883,Top One Hundred Pasta Sauces,Diane Seed,1990,Peter Smith Pub,11112,4
1857995813,The Sexual Labyrinth: For Women (Phoenix 60p Paperbacks - the Literature of Passion),Alina Reyes,1995,Orion Publishing Co,11115,3
074991937X,Life Coaching: Change Your Life in 7 Days,Eileen Mulligan,1999,Judy Piatkus Publishers Ltd,11115,9
013852632X,The Stress Check: Coping With the Stresses of Life and Work,Cary L. Cooper,1980,Simon & Schuster,11115,7
1570722323,Elvis Presley: Silver Screen Icon: Featuring a Collection of Movie Posters,Steve Templeton,2002,Overmountain Press,11119,4
60005025,Elvis the Rooster Almost Goes to Heaven (I Can Read Book 3),Denys Cazet,2004,HarperTrophy,11119,10
452284902,Weekend in Paris,Robyn Sisman,2004,Plume Books,11119,4
817436076X,Curries & Rice (Chefs Special),compiled master chefs of India,2000,Roli Books,11120,1
600387682,100 years of the Wimbledon tennis championships,James Medlycott,1977,Hamlyn,11120,2
891043039,How to do sex properly (An A & W visual library book),Bridgid,1982,A&amp;W Visual Library,11120,8
1843530783,The Rough Guide to Paris (Rough Guide. Paris),Ruth Blackmore,2003,Rough Guides Limited,11120,7
